컷,시작(TC),끝(TC),시작(초),길이(초),자막,화면 지시,쓸 그림
1,00:00:00:00,00:00:05:00,0.00,5.00,정점식 원내대표가,국회 본회의장 전경 스톡 + 자막카드 '취임 후 첫 연설',img-0-cover.png
2,00:00:05:00,00:00:10:00,5.00,5.00,첫 교섭단체 연설에서,"국회의사당 외경 스톡, 낮 촬영",
3,00:00:10:00,00:00:15:00,10.00,5.00,'개헌은 없다' 선언,큰 자막카드 '이번 정부에서 개헌은 없다' 화면 전체,img-2-stat-card.png
4,00:00:15:00,00:00:20:00,15.00,5.00,전날 김민석 대표는,국회 로텐더홀 스톡 + 상단 자막 '전날(9/7)',img-3-stat-card.png
5,00:00:20:00,00:00:25:00,20.00,5.00,개헌 추진 밝혔죠,자막카드 '현실 가능한 개헌 추진',img-stat-card.png
6,00:00:25:00,00:00:30:00,25.00,5.00,본회의장 고성 오가,국회 본회의장 스톡 + '고성' 텍스트 흔들림 이펙트,
7,00:00:30:00,00:00:35:00,30.00,5.00,지지율 40%대 붕괴,숫자 그래픽 '지지율 40%대 붕괴' 하단 작은 글씨 '정점식 발언',img-0-cover.png
8,00:00:35:00,00:00:40:00,35.00,5.00,34.7%도 언급,숫자 그래픽 '34.7%' 크게 강조,img-2-stat-card.png
9,00:00:40:00,00:00:45:00,40.00,5.00,출처는 확인 안 돼,자막카드 '조사기관·기간 미확인' 경고 아이콘,img-3-stat-card.png
10,00:00:45:00,00:00:50:00,45.00,5.00,연설 43분 29장,숫자 그래픽 '43분 · A4 29장',img-stat-card.png
11,00:00:50:00,00:00:55:00,50.00,5.00,민주당 현장 항의,국회 본회의장 스톡 + '항의' 자막,img-0-cover.png
12,00:00:55:00,00:01:00:00,55.00,5.00,공식 입장은 아직,자막카드 '공식 반박 확인 안 됨',img-2-stat-card.png
