컷,시작(TC),끝(TC),시작(초),길이(초),자막,화면 지시,쓸 그림
1,00:00:00:00,00:00:02:00,0.00,2.00,장관 임명 30일 만에,국회 본관 외경 스톡 + 자막카드 '장외투쟁 검토',img-0-cover.png
2,00:00:02:00,00:00:04:00,2.00,2.00,무너질까요?,국회 본관 외경 스톡 + 자막카드 '장외투쟁 검토',img-2-stat-card.png
3,00:00:04:00,00:00:06:00,4.00,2.00,김승원 법무부 장관,국회의사당 전경 스톡 + 자막카드 '김승원 법무부 장관 후보자',img-stat-card-2.png
4,00:00:06:00,00:00:08:00,6.00,2.00,후보자를 둘러싼,국회의사당 전경 스톡 + 자막카드 '김승원 법무부 장관 후보자',img-stat-card.png
5,00:00:08:00,00:00:09:00,8.00,1.00,의혹 공방이,국회의사당 전경 스톡,
6,00:00:09:00,00:00:11:00,9.00,2.00,계속되고 있습니다,국회의사당 전경 스톡,
7,00:00:11:00,00:00:12:00,11.00,1.00,청와대는,용산 대통령실 외경 스톡,
8,00:00:12:00,00:00:14:00,12.00,2.00,임명 강행 기류를,용산 대통령실 외경 스톡,
9,00:00:14:00,00:00:16:00,14.00,2.00,유지하고 있습니다,용산 대통령실 외경 스톡,
10,00:00:16:00,00:00:17:00,16.00,1.00,국민의힘은,국회 본관 앞 계단 스톡 + 자막카드 '9월 22일 대국민 보고대회',img-0-cover.png
11,00:00:17:00,00:00:19:00,17.00,2.00,9월 22일 국회 앞에서,국회 본관 앞 계단 스톡 + 자막카드 '9월 22일 대국민 보고대회',img-2-stat-card.png
12,00:00:19:00,00:00:21:00,19.00,2.00,'이재명 정부 실정,국회 본관 앞 계단 스톡,
13,00:00:21:00,00:00:23:00,21.00,2.00,대국민 보고대회'를,국회 본관 앞 계단 스톡,
14,00:00:23:00,00:00:25:00,23.00,2.00,열기로 했습니다,국회 본관 앞 계단 스톡,
15,00:00:25:00,00:00:27:00,25.00,2.00,정점식 원내대표는,"자막카드 '2019년 조국 전 장관, 임명 30여 일 만에 사퇴'",img-stat-card-2.png
16,00:00:27:00,00:00:29:00,27.00,2.00,2019년 조국 전 장관이,"자막카드 '2019년 조국 전 장관, 임명 30여 일 만에 사퇴'",img-stat-card.png
17,00:00:29:00,00:00:31:00,29.00,2.00,임명 30여 일 만에,"자막카드 '2019년 조국 전 장관, 임명 30여 일 만에 사퇴'",img-0-cover.png
18,00:00:31:00,00:00:33:00,31.00,2.00,사퇴한 사례를 들며,"자막카드 '2019년 조국 전 장관, 임명 30여 일 만에 사퇴'",img-2-stat-card.png
19,00:00:33:00,00:00:35:00,33.00,2.00,장외투쟁 가능성도,국회 본관 외경 스톡,
20,00:00:35:00,00:00:37:00,35.00,2.00,열어뒀습니다,국회 본관 외경 스톡,
21,00:00:37:00,00:00:38:00,37.00,1.00,청와대는,청와대 브리핑룸 스톡 + 자막카드 '팩트로 확인된 의혹 없다',img-stat-card-2.png
22,00:00:38:00,00:00:40:00,38.00,2.00,'팩트로 확인된 의혹은,청와대 브리핑룸 스톡 + 자막카드 '팩트로 확인된 의혹 없다',img-stat-card.png
23,00:00:40:00,00:00:42:00,40.00,2.00,없다'는 입장입니다,청와대 브리핑룸 스톡,
24,00:00:42:00,00:00:44:00,42.00,2.00,17일 법사위는,국회 법제사법위원회 회의장 스톡 + 자막카드 '9/17 청문보고서 채택 심사',img-0-cover.png
25,00:00:44:00,00:00:46:00,44.00,2.00,청문보고서 채택 여부를,국회 법제사법위원회 회의장 스톡 + 자막카드 '9/17 청문보고서 채택 심사',img-2-stat-card.png
26,00:00:46:00,00:00:48:00,46.00,2.00,심사합니다,국회 법제사법위원회 회의장 스톡,
27,00:00:48:00,00:00:49:00,48.00,1.00,임명은 결국,국회의사당 전경 스톡 + 자막카드 '임명 결정 권한은 대통령',img-stat-card-2.png
28,00:00:49:00,00:00:55:00,49.00,6.00,대통령이 결정합니다,국회의사당 전경 스톡 + 자막카드 '임명 결정 권한은 대통령',img-stat-card.png
