컷,시작(TC),끝(TC),시작(초),길이(초),자막,화면 지시,쓸 그림
1,00:00:00:00,00:00:01:00,0.00,1.00,다음 주 국회에서,국회의사당 전경 스톡 + 타이틀 자막 '청문회 슈퍼위크',img-0-cover.png
2,00:00:01:00,00:00:03:00,1.00,2.00,장관 후보자 청문회가,국회의사당 전경 스톡 (유지),
3,00:00:03:00,00:00:05:00,3.00,2.00,닷새 동안 열립니다,"달력 그래픽, 9월14일~16일 강조 표시",img-2-stat-card.png
4,00:00:05:00,00:00:08:00,5.00,3.00,14일 대법관 후보자를 시작으로,자막 카드 '9/14 김성수 대법관 후보자',img-0-cover.png
5,00:00:08:00,00:00:11:00,8.00,3.00,15일엔 법무부 장관 후보자 등 셋,자막 카드 '9/15 김승원·이소영·이형일',img-2-stat-card.png
6,00:00:11:00,00:00:14:00,11.00,3.00,16일엔 국토부·국방부 장관까지,자막 카드 '9/16 홍지선·강신철',img-0-cover.png
7,00:00:14:00,00:00:16:00,14.00,2.00,이어지는데요,국회 본관 외경 스톡,
8,00:00:16:00,00:00:19:00,16.00,3.00,문제는 증인 채택입니다,붉은 글씨 자막 '쟁점: 증인 채택',img-2-stat-card.png
9,00:00:19:00,00:00:22:00,19.00,3.00,국민의힘은 김승원 후보자 관련,국회 법사위 회의장 자료화면 스톡,
10,00:00:22:00,00:00:25:00,22.00,3.00,"증인 44명, 참고인 4명을",숫자 강조 카드 '증인 44명·참고인 4명',img-0-cover.png
11,00:00:25:00,00:00:27:00,25.00,2.00,요청했지만,숫자 카드 유지,img-2-stat-card.png
12,00:00:27:00,00:00:29:00,27.00,2.00,민주당이 거부해,'거부' 자막 스탬프 효과,img-0-cover.png
13,00:00:29:00,00:00:32:00,29.00,3.00,채택이 불발됐습니다,'채택 불발' 자막 카드,img-2-stat-card.png
14,00:00:32:00,00:00:35:00,32.00,3.00,대법관 후보자 처남 증인 요청도,국회 법사위 명패 스톡,
15,00:00:35:00,00:00:38:00,35.00,3.00,국방부 장관 후보자 관련 요청도,국방위원회 회의장 스톡,
16,00:00:38:00,00:00:41:00,38.00,3.00,받아들여지지 않았습니다,'불발' 자막 반복 표시,img-0-cover.png
17,00:00:41:00,00:00:44:00,41.00,3.00,여당은 서면자료로 충분하다는 입장,화면 반으로 나눠 '여당 입장' 자막,img-2-stat-card.png
18,00:00:44:00,00:00:47:00,44.00,3.00,야당은 정치 공세라는 반박까지,반대편 '야당 입장' 자막,img-0-cover.png
19,00:00:47:00,00:00:49:00,47.00,2.00,각 후보자 의혹은,자막 카드 '주의: 확정된 사실 아님',img-2-stat-card.png
20,00:00:49:00,00:00:52:00,49.00,3.00,아직 확정된 사실은 아닙니다,동일 자막 카드 유지,img-0-cover.png
21,00:00:52:00,00:00:55:00,52.00,3.00,성평등가족부 장관 청문회는,달력 그래픽에 물음표 표시,img-2-stat-card.png
22,00:00:55:00,00:00:58:00,55.00,3.00,날짜도 못 정했는데요,물음표 자막 강조,img-0-cover.png
23,00:00:58:00,00:01:00:00,58.00,2.00,"다음 주 국회, 계속 지켜봐야겠습니다",국회의사당 전경 스톡 + 채널 로고,
