컷,시작(TC),끝(TC),시작(초),길이(초),자막,화면 지시,쓸 그림
1,00:00:03:00,00:00:07:00,3.00,4.00,2021년 9월 통화 녹취,국회의사당 외경 스톡 + '단독 공개' 자막 카드,img-0-cover.png
2,00:00:07:00,00:00:12:00,7.00,5.00,브로커·제약회사 대표 통화,서류·계약서 클로즈업 스톡 + '브로커 양씨' 자막,img-2-stat-card.png
3,00:00:12:00,00:00:17:00,12.00,5.00,최재성 의원과 친해요,"인용문 자막카드, 큰 글씨 강조",img-3-stat-card.png
4,00:00:17:00,00:00:22:00,17.00,5.00,한병도·송영길도 언급,이름 나열 자막 카드,img-stat-card.png
5,00:00:22:00,00:00:27:00,22.00,5.00,150억원 지원금 신청 중,서류더미 스톡 + '150억원' 숫자 강조 자막,img-0-cover.png
6,00:00:27:00,00:00:33:00,27.00,6.00,민주당이 도와주면 수월,인용문 자막카드,img-2-stat-card.png
7,00:00:33:00,00:00:38:00,33.00,5.00,한동훈 의원이 공개,국회 소통관 외경 스톡,
8,00:00:38:00,00:00:44:00,38.00,6.00,"의혹 제기, 반박은 없음",물음표 그래픽 + '반박 미확인' 자막,img-3-stat-card.png
9,00:00:44:00,00:00:50:00,44.00,6.00,김승원 후보자 청문 영향은?,법무부 청사 외경 스톡,
10,00:00:50:00,00:00:58:00,50.00,8.00,"재수사 여부, 곧 결정",달력 그래픽 + '내일 주목' 자막카드,img-stat-card.png
