컷,시작(TC),끝(TC),시작(초),길이(초),자막,화면 지시,쓸 그림
1,00:00:00:00,00:00:02:00,0.00,2.00,대통령이 국회에,대통령실 외경 스톡,
2,00:00:02:00,00:00:04:00,2.00,2.00,법안 조항을 빼달라고,대통령실 외경 스톡 + 자막 카드 '공소취소권 조항 삭제 요청',img-0-cover.png
3,00:00:04:00,00:00:06:00,4.00,2.00,요청했습니다,자막 카드 '9월18일 기자회견' 클로즈업,img-2-stat-card.png
4,00:00:06:00,00:00:08:00,6.00,2.00,9월18일 이재명 대통령은,대통령실 브리핑룸 스톡,
5,00:00:08:00,00:00:10:00,8.00,2.00,기자회견에서,대통령실 브리핑룸 스톡,
6,00:00:10:00,00:00:12:00,10.00,2.00,조작기소특검법의,자막 카드 '조작기소특검법',img-stat-card-2.png
7,00:00:12:00,00:00:14:00,12.00,2.00,공소취소권 조항을,자막 카드 '공소취소권 조항',img-stat-card.png
8,00:00:14:00,00:00:16:00,14.00,2.00,삭제해달라고 했습니다,자막 카드 '삭제 요청' 강조,img-0-cover.png
9,00:00:16:00,00:00:18:00,16.00,2.00,검찰을 통해 직접,검찰청 외경 스톡,
10,00:00:18:00,00:00:20:00,18.00,2.00,공소취소에 나서진,검찰청 외경 스톡 + 자막 카드 '직접 공소취소 안 한다',img-2-stat-card.png
11,00:00:20:00,00:00:22:00,20.00,2.00,않겠다고도 말했고,검찰청 외경 스톡,
12,00:00:22:00,00:00:24:00,22.00,2.00,김승원 법무부 장관 후보자,법무부 외경 스톡,
13,00:00:24:00,00:00:26:00,24.00,2.00,임명 여부는,법무부 외경 스톡,
14,00:00:26:00,00:00:28:00,26.00,2.00,아직 결론 내리지,자막 카드 '결론 미정',img-stat-card-2.png
15,00:00:28:00,00:00:30:00,28.00,2.00,못했다고 밝혔습니다,자막 카드 '결론 미정' 유지,img-stat-card.png
16,00:00:30:00,00:00:32:00,30.00,2.00,국민의힘 장동혁 대표는,국회 본관 외경 스톡,
17,00:00:32:00,00:00:34:00,32.00,2.00,조항이 있든 없든,국회 본관 외경 스톡 + 비교: 여야 입장 / 이재명 대통령: 조항 삭제 요청 | 장동혁 대표: 조항과 무관하게 취소 가능,img-0-cover.png
18,00:00:34:00,00:00:36:00,34.00,2.00,마음만 먹으면,국회 본관 외경 스톡,
19,00:00:36:00,00:00:38:00,36.00,2.00,공소취소가 가능하다며,국회 본관 외경 스톡,
20,00:00:38:00,00:00:40:00,38.00,2.00,비판했습니다,자막 카드 '장동혁 대표 발언',img-2-stat-card.png
21,00:00:40:00,00:00:42:00,40.00,2.00,정점식 원내대표는,국회 로비 스톡,
22,00:00:42:00,00:00:44:00,42.00,2.00,국정기조 전환 의지가,국회 로비 스톡 + 자막 카드 '국정기조 전환 의지 없다',img-stat-card-2.png
23,00:00:44:00,00:00:46:00,44.00,2.00,전혀 없다는 걸,국회 로비 스톡,
24,00:00:46:00,00:00:48:00,46.00,2.00,확인했다고 말했습니다,자막 카드 '정점식 원내대표 발언',img-stat-card.png
25,00:00:48:00,00:00:50:00,48.00,2.00,특검법 조항 삭제와,국회의사당 전경 스톡,
26,00:00:50:00,00:00:52:00,50.00,2.00,김승원 후보자 임명 여부,국회의사당 전경 스톡 + 자막 카드 '앞으로 관전 포인트',img-0-cover.png
27,00:00:52:00,00:00:54:00,52.00,2.00,국회 심의가,국회의사당 전경 스톡,
28,00:00:54:00,00:00:56:00,54.00,2.00,이어질 전망입니다,"국회의사당 전경 스톡, 자막 카드 유지",img-2-stat-card.png
29,00:00:56:00,00:00:58:00,56.00,2.00,다음 국회 심의와,마무리 — 채널 로고 + 다음 브리핑 안내,
30,00:00:58:00,00:01:00:00,58.00,2.00,김승원 후보자 임명,마무리 — 채널 로고 + 다음 브리핑 안내,
31,00:01:00:00,00:01:03:00,60.00,3.00,"여부, 계속 지켜보시죠",마무리 — 채널 로고 + 다음 브리핑 안내,
