씬,컷,시작(TC),끝(TC),시작(초),길이(초),씬 길이(초),자막,화면 지시
1,1,00:00:00:00,00:00:01:00,0.00,1.00,4.00,DMZ에서 지뢰가,큰 숫자: 사고 후 경과 / 3일 / 현장조사 미착수(한동훈 의원 언급) / 출처: 뉴시스 + DMZ 지도 위 폭발 지점이 표시됨
1,2,00:00:01:00,00:00:02:00,1.00,1.00,,터졌는데,
1,3,00:00:02:00,00:00:02:15,2.00,0.50,,3일째 조사가,
1,4,00:00:02:15,00:00:04:00,2.50,1.50,,안 됐다면요?,
2,5,00:00:04:00,00:00:06:00,4.00,2.00,10.00,서부전선 DMZ에서,흐름: 사고 경과 / 지뢰 추정 폭발 > 조사 연기 > 연휴 이후 착수 예정
2,6,00:00:06:00,00:00:07:00,6.00,1.00,,지뢰로 추정되는,
2,7,00:00:07:00,00:00:09:00,7.00,2.00,,폭발 사고가 났습니다,
2,8,00:00:09:00,00:00:10:00,9.00,1.00,,군은 현장조사를,
2,9,00:00:10:00,00:00:11:00,10.00,1.00,,추석 연휴 이후로,
2,10,00:00:11:00,00:00:14:00,11.00,3.00,,미루겠다고 밝혔는데,
3,11,00:00:14:00,00:00:16:00,14.00,2.00,6.00,국방부는 그 이유로,국방부 텍스트 카드가 뜨고 '트라우마'라는 단어가 크게 강조됨
3,12,00:00:16:00,00:00:18:00,16.00,2.00,,장병들의 트라우마를,
3,13,00:00:18:00,00:00:20:00,18.00,2.00,,들었습니다,
4,14,00:00:20:00,00:00:22:00,20.00,2.00,8.00,국민의힘 장동혁 대표는,비교: 조사 주체 주장 / 유엔사: 즉각 조사 시도 | 우리 군: 조사 거부 + 하단에 '장동혁 대표 주장' 라벨 표시
4,15,00:00:22:00,00:00:23:00,22.00,1.00,,유엔사가 즉각,
4,16,00:00:23:00,00:00:25:00,23.00,2.00,,현장조사를 하려 했지만,
4,17,00:00:25:00,00:00:26:00,25.00,1.00,,우리 군이 거부했다고,
4,18,00:00:26:00,00:00:28:00,26.00,2.00,,주장했습니다,
5,19,00:00:28:00,00:00:30:00,28.00,2.00,7.00,한동훈 의원은,국방부 청사 앞에 1인 시위 팻말 그래픽이 세워짐 + 사진(국방부): 국방부 청사 전경
5,20,00:00:30:00,00:00:31:00,30.00,1.00,,국방부 앞에서,
5,21,00:00:31:00,00:00:33:00,31.00,2.00,,즉각 조사를 촉구하며,
5,22,00:00:33:00,00:00:35:00,33.00,2.00,,1인 시위를 벌였습니다,
6,23,00:00:35:00,00:00:37:00,35.00,2.00,8.00,윤상현 의원은,텍스트 카드에 '목함지뢰' 단어가 뜨고 옆에 '확인되지 않음' 물음표 라벨이 붙음
6,24,00:00:37:00,00:00:38:00,37.00,1.00,,북한의 목함지뢰,
6,25,00:00:38:00,00:00:40:00,38.00,2.00,,가능성을 언급했는데,
6,26,00:00:40:00,00:00:41:00,40.00,1.00,,아직 확인된 사실은,
6,27,00:00:41:00,00:00:43:00,41.00,2.00,,아닙니다,
7,28,00:00:43:00,00:00:45:00,43.00,2.00,7.00,지뢰를 누가 묻었는지는,"체크: 아직 확인 안 된 것 / 지뢰 매설 주체, 정부·여당 입장"
7,29,00:00:45:00,00:00:46:00,45.00,1.00,,아직 조사되지 않았고,
7,30,00:00:46:00,00:00:48:00,46.00,2.00,,정부 여당의 반박은,
7,31,00:00:48:00,00:00:50:00,48.00,2.00,,확인되지 않았습니다,
8,32,00:00:50:00,00:00:52:00,50.00,2.00,5.00,관건은 추석 연휴 이후,달력 그래픽에서 연휴 이후 날짜가 강조되고 '현장조사 착수?' 물음표가 뜸
8,33,00:00:52:00,00:00:53:00,52.00,1.00,,현장조사가,
8,34,00:00:53:00,00:00:55:00,53.00,2.00,,실제로 시작되는지입니다,
9,35,00:00:55:00,00:00:58:00,55.00,3.00,7.00,연휴 끝나고 현장조사,마무리 — 채널 로고 + 다음 브리핑 안내
9,36,00:00:58:00,00:00:59:00,58.00,1.00,,"시작되는지, 다음",
9,37,00:00:59:00,00:01:02:00,59.00,3.00,,영상에서 확인하겠습니다,
