컷,시작(TC),끝(TC),시작(초),길이(초),자막,화면 지시,쓸 그림
1,00:00:00:00,00:00:03:00,0.00,3.00,다음주 나흘간 청문회 4차례,달력 그래픽에 9월14~16일 표시 + '인사청문회 슈퍼위크' 자막카드,img-0-cover.png
2,00:00:03:00,00:00:06:00,3.00,3.00,대법관 1명·장관 후보 5명,국회의사당 전경 스톡 + '대법관 1명·장관 후보자 5명' 자막카드,img-2-stat-card.png
3,00:00:06:00,00:00:09:00,6.00,3.00,"여야, 증인 채택 놓고 대치",국회 본회의장 빈 좌석 스톡 + '증인 채택 갈등' 자막카드,img-stat-card.png
4,00:00:09:00,00:00:11:00,9.00,2.00,김성수 대법관 후보자,'김성수 대법관 후보자' 이름표 텍스트 카드(얼굴 없이 텍스트만),img-0-cover.png
5,00:00:11:00,00:00:14:00,11.00,3.00,처남 아파트 싸게 거주,강남 아파트 단지 스톡 + '시세보다 낮은 전세금' 자막카드,img-2-stat-card.png
6,00:00:14:00,00:00:16:00,14.00,2.00,탈세 의혹 제기,'탈세 의혹' 적색 강조 텍스트 카드,img-stat-card.png
7,00:00:16:00,00:00:19:00,16.00,3.00,"국민의힘, 처남 증인 요청",'국민의힘 증인 요청' 자막카드,img-0-cover.png
8,00:00:19:00,00:00:22:00,19.00,3.00,민주당 거부로 무산,'민주당 거부' 자막카드 + 붉은 X 그래픽,img-2-stat-card.png
9,00:00:22:00,00:00:25:00,22.00,3.00,김승원 법무부 장관 후보자,'김승원 법무부 장관 후보자' 이름표 텍스트 카드,img-stat-card.png
10,00:00:25:00,00:00:29:00,25.00,4.00,증인 44명·참고인 4명 요청,숫자 강조 그래픽 '증인 44명·참고인 4명',img-0-cover.png
11,00:00:29:00,00:00:33:00,29.00,4.00,민주당 거부로 채택 불발,'채택 불발' 자막카드 + 붉은 X 그래픽,img-2-stat-card.png
12,00:00:33:00,00:00:36:00,33.00,3.00,16일엔 국토부·국방부 후보자,국토교통부·국방부 청사 스톡 사진,
13,00:00:36:00,00:00:39:00,36.00,3.00,"강신철 후보자, 특별분양 의혹",아파트 단지 스톡 + '특별분양 의혹' 자막카드,img-stat-card.png
14,00:00:39:00,00:00:42:00,39.00,3.00,국민의힘 '검증 위해 필요',화면 좌측 자막카드 '국민의힘 입장',img-0-cover.png
15,00:00:42:00,00:00:45:00,42.00,3.00,민주당 '정치 공세 우려',화면 우측 자막카드 '민주당 입장',img-2-stat-card.png
16,00:00:45:00,00:00:47:00,45.00,2.00,용혜인 후보자 청문회는,'용혜인 성평등가족부 장관 후보자' 이름표 텍스트 카드,img-stat-card.png
17,00:00:47:00,00:00:50:00,47.00,3.00,일정조차 못 잡았다,빈 달력 그래픽 + '일정 미정' 자막,img-0-cover.png
18,00:00:50:00,00:00:53:00,50.00,3.00,제기된 의혹은 확인 중입니다,전체 화면 캡션 카드 '검증 진행 중 · 확정된 사실 아님',img-2-stat-card.png
19,00:00:53:00,00:00:56:00,53.00,3.00,다음주 청문회 어떻게 될까요?,국회의사당 야경 스톡,
20,00:00:56:00,00:00:58:00,56.00,2.00,계속 지켜봐야겠습니다,채널 로고 + '방구석 배경지식' 워터마크,
