씬,컷,시작(TC),끝(TC),시작(초),길이(초),씬 길이(초),자막,화면 지시
1,1,00:00:00:00,00:00:01:00,0.00,1.00,3.00,대법관 자리가,"빈 대법관석 아이콘과 함께 '대법관 공석' 텍스트가 떠오르고, '200일+' 숫자가 크게 강조됨"
1,2,00:00:01:00,00:00:03:00,1.00,2.00,,200일 넘게 비어있습니다,
2,3,00:00:03:00,00:00:05:00,3.00,2.00,7.00,청와대는 대법관 후보를,흐름: 재제청 갈등 경과 / 청와대 재제청 요청(8월28일) > 대법원장 거부 발표(9월22일)
2,4,00:00:05:00,00:00:07:00,5.00,2.00,,다시 추천해달라고,
2,5,00:00:07:00,00:00:10:00,7.00,3.00,,대법원장에게 요청했는데,
3,6,00:00:10:00,00:00:12:00,10.00,2.00,7.00,조희대 대법원장은,대법원 로고와 헌법 제82조 조문 텍스트가 강조되며 '재제청 요구에 헌법적 근거 없음' 문구가 함께 뜸
3,7,00:00:12:00,00:00:14:00,12.00,2.00,,헌법에 근거가 없다며,
3,8,00:00:14:00,00:00:17:00,14.00,3.00,,이를 거부했습니다,
4,9,00:00:17:00,00:00:19:00,17.00,2.00,6.00,청와대가 요청한 지,큰 숫자: 재제청 요청~거부 경과 / 25일 / 출처: 동아일보·뉴시스
4,10,00:00:19:00,00:00:23:00,19.00,4.00,,25일 만에 나온 결정입니다,
5,11,00:00:23:00,00:00:25:00,23.00,2.00,8.00,청와대는 하루에 두 번,큰 숫자: 청와대 입장문 발표 / 2회 / 부제: 하루 동안 두 차례 반박 / 출처: 동방일보
5,12,00:00:25:00,00:00:27:00,25.00,2.00,,입장문을 내고 유감을 밝히며,
5,13,00:00:27:00,00:00:29:00,27.00,2.00,,헌법재판소에 제소하는 방안도,
5,14,00:00:29:00,00:00:31:00,29.00,2.00,,검토하고 있습니다,
6,15,00:00:31:00,00:00:33:00,31.00,2.00,9.00,민주당은 '사법 쿠데타'라며,비교: 여야 입장 / 민주당: 사퇴·탄핵 검토 | 국민의힘: 헌법상 당연한 결정
6,16,00:00:33:00,00:00:36:00,33.00,3.00,,탄핵까지 검토하고 있다고 했고,
6,17,00:00:36:00,00:00:38:00,36.00,2.00,,국민의힘은 헌법에 따른,
6,18,00:00:38:00,00:00:40:00,38.00,2.00,,당연한 결정이라고 맞섰습니다,
7,19,00:00:40:00,00:00:42:00,40.00,2.00,8.00,국정감사에서 대법원장을,"목록: 앞으로 지켜볼 것 / 국정감사 출석 여부, 헌재 제소 여부"
7,20,00:00:42:00,00:00:44:00,42.00,2.00,,불러 따질 수 있을지,
7,21,00:00:44:00,00:00:46:00,44.00,2.00,,헌재에 실제로 제소할지가,
7,22,00:00:46:00,00:00:48:00,46.00,2.00,,다음 분수령입니다,
8,23,00:00:48:00,00:00:51:00,48.00,3.00,6.00,"국정감사와 헌재 제소, 다음",마무리 — 채널 로고 + 다음 브리핑 안내
8,24,00:00:51:00,00:00:54:00,51.00,3.00,,국면을 계속 지켜보겠습니다,
