씬,컷,시작(TC),끝(TC),시작(초),길이(초),씬 길이(초),자막,화면 지시
1,1,00:00:00:00,00:00:02:00,0.00,2.00,4.00,법무장관 후보였던,'김승원 의원 자진사퇴' 문구가 화면 중앙에 크게 떠오르며 시작
1,2,00:00:02:00,00:00:04:00,2.00,2.00,,김승원 의원이 사퇴했습니다,
2,3,00:00:04:00,00:00:07:00,4.00,3.00,8.00,19일 자진사퇴 발표 전,흐름: 사퇴까지 / 17일 탄원서 청와대 전달 > 19일 자진사퇴 발표 + 사진(청와대): 청와대 건물 사진
2,4,00:00:07:00,00:00:08:00,7.00,1.00,,17일에는 청와대에,
2,5,00:00:08:00,00:00:10:00,8.00,2.00,,탄원서가 전달됐다는,
2,6,00:00:10:00,00:00:12:00,10.00,2.00,,보도가 나왔습니다,
3,7,00:00:12:00,00:00:14:00,12.00,2.00,7.00,국민의힘은 김승원 의원이,"목록: 국민의힘 주장 / 의원직 사퇴, 수사 착수 촉구 + '국민의힘은' 발화 시 로고 텍스트 등장"
3,8,00:00:14:00,00:00:16:00,14.00,2.00,,의원직을 내려놓고,
3,9,00:00:16:00,00:00:18:00,16.00,2.00,,수사를 받아야 한다고,
3,10,00:00:18:00,00:00:19:00,18.00,1.00,,주장했습니다,
4,11,00:00:19:00,00:00:22:00,19.00,3.00,7.00,김승원 의원은 사퇴 회견에서,김승원 의원 발언 인용구 카드가 화면에 뜨고 문구가 타이핑되듯 강조됨
4,12,00:00:22:00,00:00:23:00,22.00,1.00,,직은 내려놓아도,
4,13,00:00:23:00,00:00:25:00,23.00,2.00,,진실은 포기하지 않겠다고,
4,14,00:00:25:00,00:00:26:00,25.00,1.00,,말했습니다,
5,15,00:00:26:00,00:00:28:00,26.00,2.00,8.00,민주당은 한동훈 의원을,비교: 여야 공방 / 국민의힘: 김승원 수사 촉구 | 민주당: 한동훈 수사기록 유출 의혹 제기
5,16,00:00:28:00,00:00:31:00,28.00,3.00,,겨냥해 역공에 나섰습니다,
5,17,00:00:31:00,00:00:33:00,31.00,2.00,,수사기록 유출 의혹을,
5,18,00:00:33:00,00:00:34:00,33.00,1.00,,제기한 겁니다,
6,19,00:00:34:00,00:00:36:00,34.00,2.00,5.00,국민의힘은 22일,큰 숫자: 대국민 보고대회 / 22일 / 국민의힘 예고 + 사진(국회): 국회 본관 앞 계단 사진
6,20,00:00:36:00,00:00:37:00,36.00,1.00,,국회 앞에서,
6,21,00:00:37:00,00:00:39:00,37.00,2.00,,대국민 보고대회를 엽니다,
7,22,00:00:39:00,00:00:41:00,39.00,2.00,7.00,앞으로 지켜볼 건,"체크: 앞으로 관전 포인트 / 탄원서 접수 경위 공개 여부, 국방장관 후보 거취 + 항목이 순서대로 나타남"
7,23,00:00:41:00,00:00:44:00,41.00,3.00,,탄원서 접수 경위 공개 여부와,
7,24,00:00:44:00,00:00:46:00,44.00,2.00,,국방장관 후보 거취입니다,
8,25,00:00:46:00,00:00:47:00,46.00,1.00,4.00,다음 소식도,방구석 배경지식 로고와 함께 마무리 문구 등장
8,26,00:00:47:00,00:00:50:00,47.00,3.00,,방구석 배경지식이 정리합니다,
