컷,시작(TC),끝(TC),시작(초),길이(초),자막,화면 지시,쓸 그림
1,00:00:03:00,00:00:05:00,3.00,2.00,국회 인사청문회에서,국회 법제사법위원회 회의장 전경 스톡 + 상단에 '김승원 인사청문회' 자막카드,img-0-cover.png
2,00:00:05:00,00:00:06:00,5.00,1.00,나온 발언인데요,동일 회의장 전경 스톡 유지,
3,00:00:06:00,00:00:08:00,6.00,2.00,김승원 법무부 장관,'법무부 장관 후보자' 자막 카드,img-2-stat-card.png
4,00:00:08:00,00:00:09:00,8.00,1.00,후보자가,동일 자막 카드 유지,img-poll-chart.png
5,00:00:09:00,00:00:12:00,9.00,3.00,코로나19 신약 청탁 의혹에,'코로나19 신약 청탁 의혹' 큰 자막 카드,img-stat-card.png
6,00:00:12:00,00:00:14:00,12.00,2.00,이렇게 답했습니다,동일 자막 카드 유지,img-0-cover.png
7,00:00:14:00,00:00:15:00,14.00,1.00,"""저는 문과라서",큰따옴표 강조 자막 카드: 발언 인용문 시작,img-2-stat-card.png
8,00:00:15:00,00:00:16:00,15.00,1.00,치료제 성능은,인용문 자막 카드 이어짐,img-poll-chart.png
9,00:00:16:00,00:00:18:00,16.00,2.00,"알 수 없다""",인용문 자막 카드 마무리,img-stat-card.png
10,00:00:18:00,00:00:19:00,18.00,1.00,국민의힘은,'국민의힘 측 지적' 자막 카드,img-0-cover.png
11,00:00:19:00,00:00:21:00,19.00,2.00,동물실험이 조작된,임상시험실 스톡 이미지,
12,00:00:21:00,00:00:23:00,21.00,2.00,신약이 임상시험 승인을,동일 임상시험실 스톡 유지,
13,00:00:23:00,00:00:25:00,23.00,2.00,통과했다고 지적했고,'승인 통과' 자막 카드,img-2-stat-card.png
14,00:00:25:00,00:00:27:00,25.00,2.00,실제 93명의 환자가,'93명' 숫자 강조 자막 카드,img-poll-chart.png
15,00:00:27:00,00:00:28:00,27.00,1.00,신약이나 위약을,동일 숫자 자막 카드 유지,img-stat-card.png
16,00:00:28:00,00:00:30:00,28.00,2.00,투약받았다고 했습니다,동일 숫자 자막 카드 마무리,img-0-cover.png
17,00:00:30:00,00:00:31:00,30.00,1.00,김 후보자는,'후보자 해명' 자막 카드,img-2-stat-card.png
18,00:00:31:00,00:00:33:00,31.00,2.00,자신이 전달한 건,서류 더미 스톡 이미지,
19,00:00:33:00,00:00:34:00,33.00,1.00,절차 불공정을,동일 서류 스톡 유지,
20,00:00:34:00,00:00:36:00,34.00,2.00,살펴봐 달라는,동일 서류 스톡 유지,
21,00:00:36:00,00:00:37:00,36.00,1.00,민원이었다며,'민원이었다' 자막 카드,img-poll-chart.png
22,00:00:37:00,00:00:39:00,37.00,2.00,불법은 아니었다고,'불법 아니다' 자막 카드,img-stat-card.png
23,00:00:39:00,00:00:40:00,39.00,1.00,주장했습니다,동일 자막 카드 유지,img-0-cover.png
24,00:00:40:00,00:00:42:00,40.00,2.00,이제 국회 법사위의,국회의사당 외경 스톡,
25,00:00:42:00,00:00:44:00,42.00,2.00,청문경과보고서 채택 여부와,'청문경과보고서 채택 여부' 자막 카드,img-2-stat-card.png
26,00:00:44:00,00:00:45:00,44.00,1.00,임명 절차가,동일 자막 카드 유지,img-poll-chart.png
27,00:00:45:00,00:00:50:00,45.00,5.00,남아있습니다,'임명 절차 남아있음' 자막 카드로 마무리,img-stat-card.png
