컷,시작(TC),끝(TC),시작(초),길이(초),자막,화면 지시,쓸 그림
1,00:00:00:00,00:00:02:00,0.00,2.00,"국무위원 후보 셋,",국회 본관 외경 스톡 + '9월15일 인사청문회' 자막 카드,img-0-cover.png
2,00:00:02:00,00:00:04:00,2.00,2.00,오늘 국회 문턱을 넘을까요,국회 본관 외경 스톡 + '9월15일 인사청문회' 자막 카드,img-2-stat-card.png
3,00:00:04:00,00:00:05:00,4.00,1.00,오늘 국회에서는,국회 본관 로비 스톡,
4,00:00:05:00,00:00:07:00,5.00,2.00,장관 후보자 세 명의,'이형일·김승원·이소영' 자막 카드,img-stat-card-2.png
5,00:00:07:00,00:00:08:00,7.00,1.00,인사청문회가,'이형일·김승원·이소영' 자막 카드,img-stat-card.png
6,00:00:08:00,00:00:09:00,8.00,1.00,동시에 열립니다,'이형일·김승원·이소영' 자막 카드,img-0-cover.png
7,00:00:09:00,00:00:11:00,9.00,2.00,그중 가장 관심을 끄는 건,법무부 청사 외경 스톡,
8,00:00:11:00,00:00:13:00,11.00,2.00,김승원 법무부 장관,법무부 청사 외경 스톡,
9,00:00:13:00,00:00:14:00,13.00,1.00,후보자입니다,법무부 청사 외경 스톡,
10,00:00:14:00,00:00:16:00,14.00,2.00,코로나19 신약 임상시험을,식약처 건물 외경 스톡 + '임상시험 승인 요청' 자막,img-2-stat-card.png
11,00:00:16:00,00:00:18:00,16.00,2.00,빨리 승인해달라고,식약처 건물 외경 스톡 + '임상시험 승인 요청' 자막,img-stat-card-2.png
12,00:00:18:00,00:00:20:00,18.00,2.00,식약처에 요청한 것이,식약처 건물 외경 스톡 + '임상시험 승인 요청' 자막,img-stat-card.png
13,00:00:20:00,00:00:22:00,20.00,2.00,청탁이었는지가 쟁점인데요,'청탁 vs 공익 민원' 자막 카드,img-0-cover.png
14,00:00:22:00,00:00:23:00,22.00,1.00,검찰은 이미,"'검찰, 기소유예 처분' 자막 카드",img-2-stat-card.png
15,00:00:23:00,00:00:24:00,23.00,1.00,기소유예로 사건을,"'검찰, 기소유예 처분' 자막 카드",img-stat-card-2.png
16,00:00:24:00,00:00:26:00,24.00,2.00,종결했습니다,"'검찰, 기소유예 처분' 자막 카드",img-stat-card.png
17,00:00:26:00,00:00:27:00,26.00,1.00,국민의힘은 이 처분이,'국민의힘: 국정조사·특검 요구' 자막 카드,img-0-cover.png
18,00:00:27:00,00:00:29:00,27.00,2.00,잘못됐다며,'국민의힘: 국정조사·특검 요구' 자막 카드,img-2-stat-card.png
19,00:00:29:00,00:00:30:00,29.00,1.00,국정조사와 특검 도입을,'국민의힘: 국정조사·특검 요구' 자막 카드,img-stat-card-2.png
20,00:00:30:00,00:00:32:00,30.00,2.00,요구하고 있고,'국민의힘: 국정조사·특검 요구' 자막 카드,img-stat-card.png
21,00:00:32:00,00:00:34:00,32.00,2.00,민주당은 정당한 민원이었다며,'민주당: 임명 강행 방침' 자막 카드,img-0-cover.png
22,00:00:34:00,00:00:36:00,34.00,2.00,임명을 강행할 방침입니다,'민주당: 임명 강행 방침' 자막 카드,img-2-stat-card.png
23,00:00:36:00,00:00:38:00,36.00,2.00,다만 관련 증인 채택이,국회 법사위 회의장 스톡 + '증인 채택 불발' 자막,img-stat-card-2.png
24,00:00:38:00,00:00:39:00,38.00,1.00,불발되면서,국회 법사위 회의장 스톡 + '증인 채택 불발' 자막,img-stat-card.png
25,00:00:39:00,00:00:40:00,39.00,1.00,청문회에서 의혹이,국회 법사위 회의장 스톡 + '증인 채택 불발' 자막,img-0-cover.png
26,00:00:40:00,00:00:42:00,40.00,2.00,얼마나 밝혀질지는,국회 법사위 회의장 스톡 + '증인 채택 불발' 자막,img-2-stat-card.png
27,00:00:42:00,00:00:43:00,42.00,1.00,미지수입니다,국회 법사위 회의장 스톡 + '증인 채택 불발' 자막,img-stat-card-2.png
28,00:00:43:00,00:00:45:00,43.00,2.00,청문회 결과는,국회의사당 전경 스톡,
29,00:00:45:00,00:00:50:00,45.00,5.00,다음 영상에서 전해드리겠습니다,국회의사당 전경 스톡,
