씬,컷,시작(TC),끝(TC),시작(초),길이(초),씬 길이(초),자막,화면 지시
1,1,00:00:00:00,00:00:01:00,0.00,1.00,3.00,비서실장이 물러나겠다는데,"어두운 배경에 '비서실장, 사의 표명' 자막이 크게 나타나고 이어 '여당 공세 시작' 문구가 겹쳐 등장"
1,2,00:00:01:00,00:00:03:00,1.00,2.00,,여당 반응이 심상치 않습니다,
2,3,00:00:03:00,00:00:05:00,3.00,2.00,7.00,강훈식 대통령비서실장이,흐름: 사의 처리 절차 / 9월21일 사의 표명 > 순방 중 보류 > 귀국 후 수리 결정
2,4,00:00:05:00,00:00:07:00,5.00,2.00,,9월21일 사의를 표명했는데,
2,5,00:00:07:00,00:00:08:00,7.00,1.00,,수리 여부는,
2,6,00:00:08:00,00:00:10:00,8.00,2.00,,순방 후로 넘어갔습니다,
3,7,00:00:10:00,00:00:12:00,10.00,2.00,9.00,국민의힘 장동혁 대표는,"목록: 장동혁 대표 발언 / '경기·성남 라인' 책임론, '종합적 책임은 대통령'"
3,8,00:00:12:00,00:00:14:00,12.00,2.00,,청와대를 좌지우지하는,
3,9,00:00:14:00,00:00:15:00,14.00,1.00,,경기·성남 라인이,
3,10,00:00:15:00,00:00:16:00,15.00,1.00,,책임져야 한다며,
3,11,00:00:16:00,00:00:17:00,16.00,1.00,,종합적 책임은,
3,12,00:00:17:00,00:00:19:00,17.00,2.00,,대통령이라 했습니다,
4,13,00:00:19:00,00:00:21:00,19.00,2.00,7.00,정점식 원내대표는,"목록: 정점식 원내대표 요구 / 강훈식 실장 사퇴 인정, 한성숙 총리 사퇴 촉구"
4,14,00:00:21:00,00:00:22:00,21.00,1.00,,강 실장의 사퇴가,
4,15,00:00:22:00,00:00:23:00,22.00,1.00,,당연했다며,
4,16,00:00:23:00,00:00:24:00,23.00,1.00,,한성숙 총리 사퇴도,
4,17,00:00:24:00,00:00:26:00,24.00,2.00,,요구했습니다,
5,18,00:00:26:00,00:00:28:00,26.00,2.00,7.00,박성훈 수석대변인은,텍스트 강조 '인사 시스템 만신창이' 문구가 화면 가득 확대되며 등장
5,19,00:00:28:00,00:00:29:00,28.00,1.00,,인사 시스템이,
5,20,00:00:29:00,00:00:30:00,29.00,1.00,,만신창이가 됐는데,
5,21,00:00:30:00,00:00:31:00,30.00,1.00,,비서실장 한 명에게만,
5,22,00:00:31:00,00:00:33:00,31.00,2.00,,책임을 묻느냐고 했습니다,
6,23,00:00:33:00,00:00:34:00,33.00,1.00,7.00,국민의힘은,"목록: 국민의힘 증인 요구 / 김현지 제1부속실장, 정진상 전 정무조정실장"
6,24,00:00:34:00,00:00:35:00,34.00,1.00,,김현지 제1부속실장과,
6,25,00:00:35:00,00:00:37:00,35.00,2.00,,정진상 전 정무조정실장을,
6,26,00:00:37:00,00:00:38:00,37.00,1.00,,국정감사 증인으로,
6,27,00:00:38:00,00:00:40:00,38.00,2.00,,세워야 한다고 했습니다,
7,28,00:00:40:00,00:00:42:00,40.00,2.00,7.00,민주당 측 반응은,"흐름: 앞으로 절차 / 순방 종료 > 사의 수리 여부 결정 > 후임 인선, '민주당 반응 확인 안 됨' 자막 병기"
7,29,00:00:42:00,00:00:43:00,42.00,1.00,,아직 확인되지 않았습니다,
7,30,00:00:43:00,00:00:44:00,43.00,1.00,,관심은 이제,
7,31,00:00:44:00,00:00:45:00,44.00,1.00,,대통령이 사의를,
7,32,00:00:45:00,00:00:47:00,45.00,2.00,,수리할지로 향합니다,
8,33,00:00:47:00,00:00:50:00,47.00,3.00,3.00,"수리 여부, 함께 지켜보시죠","채널 로고와 구독 버튼 애니메이션, '방구석 배경지식' 워터마크"
