컷,시작(TC),끝(TC),시작(초),길이(초),자막,화면 지시,쓸 그림
1,00:00:00:00,00:00:03:00,0.00,3.00,증인 28명 중 27명,검은 배경 + '28명 중 27명' 흰색 대형 숫자 카드,img-0-cover.png
2,00:00:03:00,00:00:06:00,3.00,3.00,채택 거부 주장이 나왔습니다,국회 본청 복도 스톡 영상 + 하단 자막,img-2-stat-card.png
3,00:00:06:00,00:00:09:00,6.00,3.00,9월 11일 국회입니다,스톡: 국회의사당 전경 + 좌상단 '2026.09.11' 날짜 카드,img-stat-card-2.png
4,00:00:09:00,00:00:13:00,9.00,4.00,김승원 법무부 장관 후보자,명패 모양 그래픽에 '법무부 장관 후보자' 텍스트,img-stat-card.png
5,00:00:13:00,00:00:17:00,13.00,4.00,인사청문회는 15일 예정,달력 그래픽에 9월 15일 동그라미 표시,img-0-cover.png
6,00:00:17:00,00:00:21:00,17.00,4.00,국민의힘 정점식 원내대표는,스톡: 회의실 마이크 클로즈업,
7,00:00:21:00,00:00:25:00,21.00,4.00,"""청문회 아닌 국정조사""","따옴표 자막 카드, 하단에 '정점식 원내대표 발언' 표기",img-2-stat-card.png
8,00:00:25:00,00:00:29:00,25.00,4.00,로비·주가조작 게이트라고 주장,스톡: 주식 차트 하락 그래프,img-stat-card-2.png
9,00:00:29:00,00:00:33:00,29.00,4.00,작전세력 수익 180억원,'180억원' 대형 숫자 카드 + '정점식 원내대표 주장' 작은 글씨,img-stat-card.png
10,00:00:33:00,00:00:37:00,33.00,4.00,개미투자자 3만명 손실 주장,'3만명' 숫자 카드,img-0-cover.png
11,00:00:37:00,00:00:41:00,37.00,4.00,민주당 김민석 대표는,스톡: 충북도청 외관 또는 지방 관공서 건물,
12,00:00:41:00,00:00:45:00,41.00,4.00,"""볼수록 잘된 인사, 지킬 것""","따옴표 자막 카드, 하단에 '김민석 대표 발언' 표기",img-2-stat-card.png
13,00:00:45:00,00:00:49:00,45.00,4.00,양쪽 다 아직 주장 단계입니다,회색 배경 + '주장 / 사실 확인 전' 두 칸 비교 카드,img-stat-card-2.png
14,00:00:49:00,00:00:53:00,49.00,4.00,후보자 본인 해명은 오늘 없었습니다,빈 마이크 스탠드 스톡 영상,
15,00:00:53:00,00:00:58:00,53.00,5.00,볼 것은 증인 명단과 15일,체크리스트 그래픽 '① 증인 채택 ② 9월 15일',img-stat-card.png
