컷,시작(TC),끝(TC),시작(초),길이(초),자막,화면 지시,쓸 그림
1,00:00:00:00,00:00:02:00,0.00,2.00,이재명 대통령이,국회의사당 전경 스톡 + 상단 자막 '9월13일',img-0-cover.png
2,00:00:02:00,00:00:05:00,2.00,3.00,지난달 30일 지명한,"달력 그래픽, 8월30일 표시 자막카드",img-2-stat-card.png
3,00:00:05:00,00:00:07:00,5.00,2.00,용혜인 성평등가족부,성평등가족부 청사 외경 스톡,
4,00:00:07:00,00:00:09:00,7.00,2.00,장관 후보자가,동일 화면 유지,
5,00:00:09:00,00:00:12:00,9.00,3.00,"13일, 지명 14일 만에",'14일 만' 큰 숫자 자막카드,img-stat-card-2.png
6,00:00:12:00,00:00:14:00,12.00,2.00,자진 사퇴했습니다,국회 소통관 외경 스톡,
7,00:00:14:00,00:00:17:00,14.00,3.00,비례의원 겸직 논란과,'겸직 논란' 자막카드,img-stat-card.png
8,00:00:17:00,00:00:19:00,17.00,2.00,배우자·기본소득당 관련,기본소득당 당사 외경 스톡,
9,00:00:19:00,00:00:22:00,19.00,3.00,의혹이 계속됐습니다,'의혹' 자막카드 유지,img-0-cover.png
10,00:00:22:00,00:00:24:00,22.00,2.00,용 후보자는,국회 소통관 외경 스톡,
11,00:00:24:00,00:00:26:00,24.00,2.00,국민의힘이 청문회 일정을,'인사청문회 일정' 자막카드,img-2-stat-card.png
12,00:00:26:00,00:00:29:00,26.00,3.00,끝내 거부했다고 말했습니다,동일 화면 유지,
13,00:00:29:00,00:00:32:00,29.00,3.00,국민의힘 측 입장은,국회 본청 외경 스톡,
14,00:00:32:00,00:00:35:00,32.00,3.00,확인되지 않았습니다,'입장 미확인' 자막카드,img-stat-card-2.png
15,00:00:35:00,00:00:37:00,35.00,2.00,민주당 김민석 대표는,더불어민주당 당사 외경 스톡,
16,00:00:37:00,00:00:40:00,37.00,3.00,김태선 의원을 통해,국회 본청 복도 스톡,
17,00:00:40:00,00:00:42:00,40.00,2.00,사퇴를 권유한 것으로,'사퇴 권유' 자막카드,img-stat-card.png
18,00:00:42:00,00:00:45:00,42.00,3.00,전해졌습니다,동일 화면 유지,
19,00:00:45:00,00:00:47:00,45.00,2.00,성평등가족부 장관 인선은,성평등가족부 청사 외경 스톡,
20,00:00:47:00,00:00:49:00,47.00,2.00,다시 원점으로 돌아갔습니다,'인선 원점' 자막카드,img-0-cover.png
21,00:00:49:00,00:00:51:00,49.00,2.00,새 후보자는,국회의사당 전경 스톡,
22,00:00:51:00,00:00:53:00,51.00,2.00,아직 정해지지 않았습니다,동일 화면 유지,
23,00:00:53:00,00:00:55:00,53.00,2.00,15일에는 김승원,법무부 청사 외경 스톡,
24,00:00:55:00,00:00:57:00,55.00,2.00,법무부 장관 후보자,'9월15일' 날짜 자막카드,img-2-stat-card.png
25,00:00:57:00,00:01:00:00,57.00,3.00,인사청문회가 예정돼 있습니다,국회 법사위 회의장 스톡,
